HTML_TAGS ,English
<!–>,"This tag, also known as the comments tag, is used to hide comments and text from showing up on the final page. It is mostly used by coders to insert comments in various sections of the page for their reference, and make such comments not visible to end users, and in the browser."
<!DOCTYPE>,"This is the document type tag, which is actually not a tag, but a declaration of the version of HTML that is used. It is to help the browser understand the version and type of web page, without which the browser would not be able to even recognize the webpage. The document type tag does not have an end tag."
<a>,"The anchor tag, as this tag is called, interconnects two pages (unidirectional) with the help of a page address. The link of the interconnected page needs to be inserted as part of the href attribute, which makes the text accessible, and directs you to the said page on clicking the linked text."
<abbr>,"This tag, usually called the abbreviation or acronym tag, is used to show the full form of an abbreviation or acronym on a mouse-over, with its title attribute."
<acronym>,"This tag is similar to the abbreviation tag, but is used when the acronym is a spoken word, such as GUI, NASA, etc. The acronym tag is deprecated in HTML 5."
<address>,The address tag defines the contact information of the owner or author of the page on which it is defined.
<applet>,This tag is used to insert a Java code that works within HTML. The applet tag is not supported in HTML 5; the same functionality can be arrived at using the Object tag.
<area>,The area tag is used to define the area of a clickable section when using area mapping.
<article>,This tag is used to represent a component of a page that consists of a self-contained composition in a document or a page of the site.
<aside>,"The aside tag, as the name states, separates a portion of the content from the main content of the page. In layman terms, using this tag shifts the focus from the main section of the page to highlight additional information. It can even be used to act as a sidebar aloof from the main content."
<audio>,"The audio tag is a new addition to HTML, that allows music, or any other type of sound file, to be embedded in the webpage. Audio tags are used so that files embedded in these tags can be listened to directly in the browser rather than downloading the file to listen to it."
<b>,"The bold tag is used, as the name suggests, to make text bold, or stand out from other text on a webpage. Similar to the bold effect found in most word processing programs."
<base>,"The base element allows authors to specify the document base URL for the purposes of resolving relative URLs, and the name of the default browsing context for the purposes of following hyperlinks."
<basefont>,"The basefont tag is used to define a font style, font family, and font for the entire document. It is not supported in HTML 5, where CSS is used for this and additional functionality regarding fonts."
<bdo>,"The BDO tag, or Bi-Directional Override, is used to change the default direction of the text, which is LTR, or left to right."
<big>,"This tag helps you define bigger text, or increase the size of the text. The big tag is not supported in HTML 5."
<blockquote>,This tag is used to specify a section that is quoted from another source. The attribute cite needs to be used to define the source of the content.
<body>,"The body tag displays all the content of an HTML document, such as text, hyperlinks, images, tables, lists, etc."
<br>,"This tag lets you add a line break to the text. It puts anything that comes after it on a new line. The line break tag is an empty tag, meaning it has no end tag."
<button>,"The button tag defines a clickable button. Inside this tag you can put content, like text or images."
<canvas>,"The canvas tag, as the name specifies, is a blank area on the page which is used to redraw graphics on the go. Unlike the image tag, it can be modified on the fly (runtime) using scripts."
<caption>,"The caption tag is used to insert a title for a table, different from the one in table header. This tag is inserted immediately after the table tag. The text-align and caption side properties of CSS can be used to place the caption."
<center>,"The center tag is used to align elements or text to the center of the page. This tag is not supported in HTML 5, CSS properties need to be used instead."
<cite>,"The cite tag defines the title of a work, e.g., a book, a song, a movie, a TV show, a painting, a sculpture, etc."
<code>,"The code tag is used to define a reference or piece of code embedded on a page. However, using CSS might help the author enhance the piece of text more efficiently."
<col>,"The column tag specifies styles for the cells of the table within a colgroup tag. The column tag is used to apply styles to entire columns, instead of repeating the styles for each cell, for each row."
<colgroup>,The colgroup tag specifies styles for the columns in a table for formatting. Specifies a group of one or more columns in a table for formatting.
<datalist>,"The datalist tag specifies a list of pre-defined options for an input element. Using autocomplete feature, it hints to the user the values in the drop down."
<dd>,"In HTML5, the dd tag is used to describe a term/name in a description list. This tag is used in conjunction with dl (description list) and dt (defines terms)."
<del>,The del tag defines text that has been deleted from a document. It marks changes or modifications that have occurred in the document.
<dfn>,The dfn tag is a phrase tag. It defines a definition term.
<div>,"The div tag defines a division or a section in an HTML document. HTML 5 segregates between the section, article, and other parts of a page, whereas in HTML 4 and before, this tag was used substantially to section and structure the page."
<dl>,"In HTML 4.01, the dl tag defines a definition list. In HTML 5, the dl tag defines a description list."
<dt>,The dt tag defines a term/name in a description list.
<em>,The em tag is a phrase tag. It renders emphasized text. Similar to the italics tag.
<embed>,"The embed tag is similar to the applet tag, which allows a third party plugin to be inserted into a page. This external plugin adds application or interactive content onto a page."
<fieldset>,The fieldset tag is used to group related elements in a form. It draws a border box around the elements contained.
<figcaption>,The figcaption tag defines a caption for a figure element. Similar to the caption tag for a table. It does not have any alignment property.
<figure>,"The figure tag specifies content, like illustrations, diagrams, photos, code listings, etc. The figcaption tag is used to specify the title for the same."
<font>,"This tag is similar to the basefont tag, except it applies the font style to the content and elements within the tag, and not across the whole page. The font tag is not supported in HTML 5, CSS is used instead."
<footer>,"The footer tag defines a footer for a document or section. Footer naturally specifies the author and copyright information, among other things. You can have several footer elements in one document."
<form>,The form tag is one of the most important aspects of interactive pages. It is used to create an HTML form for user input.
<frame>,"This tag allows the author to open a new webpage within a webpage. There can be multiple frames within a page, contained in a frameset."
<frameset>,"The frameset tag is used to contain frames (x number of webpages within a page). The frameset element specifies the columns or rows in the frameset, and the percentage/pixels of space occupied by each frame."
<head>,"As the name states, the head tag is mainly responsible for the functioning of the body. The head tag includes all the script and style elements, and must include a title for the document"
<header>,The header tag specifies a header for a document or section. The header element should be used as a container for introductory content or a set of navigational links.
